Data Consumer(s) feedback - Tags.1,"If data inputters did not find the data item useful, why not? - Tags.1",0
Agree - needs to be looked at,Duplication,3
Agree - needs to be looked at,Language/Guidance/Design,3
Agree - needs to be looked at,Not relevant,1
Duplication,Duplication,2
Practice / Training,Duplication,1
Practice / Training,Language/Guidance/Design,11
Practice / Training,Not relevant,2
Practice / Training,Useful to someone else in LA,1
Useful for understanding the case,Duplication,1
Useful for understanding the case,Not relevant,1
Useful to LA,Duplication,1
Useful to LA,Not relevant,1
